Event(name=Tempo Class, time=0, value=mid, text=None)
Event(name=Note Duration, time=2040, value=1.335, text=1.335)
Event(name=Position, time=2100, value=3/16, text=2100)
Event(name=Note Velocity, time=2100, value=118, text=118)
Event(name=Note On, time=2100, value=73, text=C#5)
Event(name=Note Duration, time=2100, value=0.779, text=0.779)
Event(name=Position, time=2100, value=3/16, text=2100)
Event(name=Note Velocity, time=2100, value=87, text=87)
Event(name=Note On, time=2100, value=58, text=A#3)
Event(name=Note Duration, time=2100, value=1.465, text=1.465)
Event(name=Position, time=2160, value=4/16, text=2160)
Event(name=Note Velocity, time=2160, value=94, text=94)
Event(name=Note On, time=2160, value=61, text=C#4)
Event(name=Note Duration, time=2160, value=1.115, text=1.115)
Event(name=Position, time=2340, value=7/16, text=2340)
Event(name=Note Velocity, time=2340, value=118, text=118)
Event(name=Note On, time=2340, value=70, text=A#4)
Event(name=Note Duration, time=2340, value=1.554, text=1.554)
Event(name=Position, time=2460, value=9/16, text=2460)
Event(name=Chord, time=2460, value=D#:min, text=D#:min)
Event(name=Position, time=2460, value=9/16, text=2460)
Event(name=Note Velocity, time=2460, value=102, text=102)
Event(name=Note On, time=2460, value=51, text=D#3)
Event(name=Note Duration, time=2460, value=0.519, text=0.519)
Event(name=Position, time=2520, value=10/16, text=2520)
Event(name=Note Velocity, time=2520, value=71, text=71)
Event(name=Note On, time=2520, value=54, text=F#3)
Event(name=Note Duration, time=2520, value=1.29, text=1.29)
Event(name=Position, time=2580, value=11/16, text=2580)
Event(name=Note Velocity, time=2580, value=100, text=100)
Event(name=Note On, time=2580, value=58, text=A#3)
Event(name=Note Duration, time=2580, value=1.194, text=1.194)
Event(name=Position, time=2640, value=12/16, text=2640)
Event(name=Note Velocity, time=2640, value=94, text=94)
Event(name=Note On, time=2640, value=66, text=F#4)
Event(name=Note Duration, time=2640, value=1.1, text=1.1)
Event(name=Position, time=2820, value=15/16, text=2820)
Event(name=Note Velocity, time=2820, value=112, text=112)
Event(name=Note On, time=2820, value=73, text=C#5)
Event(name=Note Duration, time=2820, value=0.296, text=0.296)
Event(name=Bar, time=2940, value=2940, text=4)
Event(name=Position, time=2940, value=1/16, text=2940)
Event(name=Chord, time=2940, value=B:maj, text=B:maj)
Event(name=Position, time=2940, value=1/16, text=2940)
Event(name=Note Velocity, time=2940, value=118, text=118)
Event(name=Note On, time=2940, value=78, text=F#5)
Event(name=Note Duration, time=2940, value=0.254, text=0.254)
Event(name=Position, time=2940, value=1/16, text=2940)
Event(name=Note Velocity, time=2940, value=63, text=63)
Event(name=Note On, time=2940, value=47, text=B2)
Event(name=Note Duration, time=2940, value=1.356, text=1.356)
Event(name=Position, time=3000, value=2/16, text=3000)
Event(name=Note Velocity, time=3000, value=118, text=118)
Event(name=Note On, time=3000, value=80, text=G#5)
Event(name=Note Duration, time=3000, value=0.123, text=0.123)
Event(name=Position, time=3000, value=2/16, text=3000)
Event(name=Note Velocity, time=3000, value=52, text=52)
Event(name=Note On, time=3000, value=54, text=F#3)
Event(name=Note Duration, time=3000, value=1.092, text=1.092)
Event(name=Position, time=3060, value=3/16, text=3060)
Event(name=Note Velocity, time=3060, value=118, text=118)
Event(name=Note On, time=3060, value=82, text=A#5)
Event(name=Note Duration, time=3060, value=0.877, text=0.877)
Event(name=Position, time=3060, value=3/16, text=3060)
Event(name=Note Velocity, time=3060, value=82, text=82)
Event(name=Note On, time=3060, value=59, text=B3)
Event(name=Note Duration, time=3060, value=0.89, text=0.89)
Event(name=Position, time=3120, value=4/16, text=3120)
Event(name=Note Velocity, time=3120, value=84, text=84)
Event(name=Note On, time=3120, value=63, text=D#4)
Event(name=Note Duration, time=3120, value=0.94, text=0.94)
Event(name=Position, time=3300, value=7/16, text=3300)
Event(name=Note Velocity, time=3300, value=78, text=78)
Event(name=Note On, time=3300, value=73, text=C#5)
Event(name=Note Duration, time=3300, value=0.206, text=0.206)
Event(name=Position, time=3420, value=9/16, text=3420)
Event(name=Chord, time=3420, value=C#:maj, text=C#:maj)
Event(name=Position, time=3420, value=9/16, text=3420)
Event(name=Note Velocity, time=3420, value=115, text=115)
Event(name=Note On, time=3420, value=78, text=F#5)
Event(name=Note Duration, time=3420, value=0.217, text=0.217)
Event(name=Position, time=3420, value=9/16, text=3420)
Event(name=Note Velocity, time=3420, value=69, text=69)
Event(name=Note On, time=3420, value=56, text=G#3)
Event(name=Note Duration, time=3420, value=0.346, text=0.346)
Event(name=Position, time=3420, value=9/16, text=3420)
Event(name=Note Velocity, time=3420, value=89, text=89)
Event(name=Note On, time=3420, value=61, text=C#4)
Event(name=Note Duration, time=3420, value=0.827, text=0.827)
Event(name=Position, time=3420, value=9/16, text=3420)
Event(name=Note Velocity, time=3420, value=82, text=82)
Event(name=Note On, time=3420, value=49, text=C#3)
Event(name=Note Duration, time=3420, value=1.383, text=1.383)
Event(name=Position, time=3480, value=10/16, text=3480)
Event(name=Note Velocity, time=3480, value=118, text=118)
Event(name=Note On, time=3480, value=80, text=G#5)
Event(name=Note Duration, time=3480, value=0.127, text=0.127)
Event(name=Position, time=3540, value=11/16, text=3540)
Event(name=Note Velocity, time=3540, value=118, text=118)
Event(name=Note On, time=3540, value=82, text=A#5)
Event(name=Note Duration, time=3540, value=0.683, text=0.683)
Event(name=Position, time=3540, value=11/16, text=3540)
Event(name=Note Velocity, time=3540, value=58, text=58)
Event(name=Note On, time=3540, value=56, text=G#3)
Event(name=Note Duration, time=3540, value=0.31, text=0.31)
Event(name=Position, time=3600, value=12/16, text=3600)
Event(name=Note Velocity, time=3600, value=94, text=94)
Event(name=Note On, time=3600, value=65, text=F4)
Event(name=Note Duration, time=3600, value=0.617, text=0.617)
Event(name=Bar, time=3900, value=3900, text=5)
Event(name=Position, time=3900, value=1/16, text=3900)
Event(name=Chord, time=3900, value=F#:maj, text=F#:maj)
Event(name=Position, time=3900, value=1/16, text=3900)
Event(name=Note Velocity, time=3900, value=97, text=97)
Event(name=Note On, time=3900, value=42, text=F#2)
Event(name=Note Duration, time=3900, value=1.837, text=1.837)
Event(name=Position, time=3960, value=2/16, text=3960)
Event(name=Note Velocity, time=3960, value=69, text=69)
Event(name=Note On, time=3960, value=49, text=C#3)
Event(name=Note Duration, time=3960, value=1.487, text=1.487)
Event(name=Position, time=4020, value=3/16, text=4020)
Event(name=Note Velocity, time=4020, value=121, text=121)
Event(name=Note On, time=4020, value=66, text=F#4)
Event(name=Note Duration, time=4020, value=0.394, text=0.394)
Event(name=Position, time=4020, value=3/16, text=4020)
Event(name=Note Velocity, time=4020, value=76, text=76)
Event(name=Note On, time=4020, value=54, text=F#3)
Event(name=Note Duration, time=4020, value=1.277, text=1.277)
Event(name=Position, time=4080, value=4/16, text=4080)
Event(name=Note Velocity, time=4080, value=89, text=89)
Event(name=Note On, time=4080, value=61, text=C#4)
Event(name=Note Duration, time=4080, value=0.9, text=0.9)
Event(name=Position, time=4140, value=5/16, text=4140)
Event(name=Note Velocity, time=4140, value=118, text=118)
Event(name=Note On, time=4140, value=75, text=D#5)
Event(name=Note Duration, time=4140, value=0.39, text=0.39)
Event(name=Position, time=4260, value=7/16, text=4260)
Event(name=Note Velocity, time=4260, value=118, text=118)
Event(name=Note On, time=4260, value=73, text=C#5)
Event(name=Note Duration, time=4260, value=1.744, text=1.744)
Event(name=Position, time=4260, value=7/16, text=4260)
Event(name=Note Velocity, time=4260, value=89, text=89)
Event(name=Note On, time=4260, value=58, text=A#3)
Event(name=Note Duration, time=4260, value=0.296, text=0.296)
Event(name=Position, time=4380, value=9/16, text=4380)
Event(name=Note Velocity, time=4380, value=73, text=73)
Event(name=Note On, time=4380, value=61, text=C#4)
Event(name=Note Duration, time=4380, value=0.562, text=0.562)
Event(name=Position, time=4380, value=9/16, text=4380)
Event(name=Note Velocity, time=4380, value=78, text=78)
Event(name=Note On, time=4380, value=58, text=A#3)
Event(name=Note Duration, time=4380, value=0.579, text=0.579)
Event(name=Position, time=4380, value=9/16, text=4380)
Event(name=Note Velocity, time=4380, value=92, text=92)
Event(name=Note On, time=4380, value=66, text=F#4)
Event(name=Note Duration, time=4380, value=0.679, text=0.679)
Event(name=Position, time=4380, value=9/16, text=4380)
Event(name=Note Velocity, time=4380, value=52, text=52)
Event(name=Note On, time=4380, value=54, text=F#3)
Event(name=Note Duration, time=4380, value=0.823, text=0.823)
Event(name=Position, time=4380, value=9/16, text=4380)
Event(name=Note Velocity, time=4380, value=87, text=87)
Event(name=Note On, time=4380, value=42, text=F#2)
Event(name=Note Duration, time=4380, value=1.319, text=1.319)
Event(name=Position, time=4500, value=11/16, text=4500)
Event(name=Note Velocity, time=4500, value=46, text=46)
Event(name=Note On, time=4500, value=49, text=C#3)
Event(name=Note Duration, time=4500, value=0.702, text=0.702)
Event(name=Position, time=4620, value=13/16, text=4620)
Event(name=Note Velocity, time=4620, value=115, text=115)
Event(name=Note On, time=4620, value=61, text=C#4)
Event(name=Note Duration, time=4620, value=0.144, text=0.144)
Event(name=Position, time=4620, value=13/16, text=4620)
Event(name=Note Velocity, time=4620, value=94, text=94)
Event(name=Note On, time=4620, value=58, text=A#3)
Event(name=Note Duration, time=4620, value=0.346, text=0.346)
Event(name=Position, time=4620, value=13/16, text=4620)
Event(name=Note Velocity, time=4620, value=84, text=84)
Event(name=Note On, time=4620, value=54, text=F#3)
Event(name=Note Duration, time=4620, value=0.36, text=0.36)
Event(name=Position, time=4620, value=13/16, text=4620)
Event(name=Note Velocity, time=4620, value=89, text=89)
Event(name=Note On, time=4620, value=61, text=C#4)
Event(name=Note Duration, time=4620, value=0.419, text=0.419)
Event(name=Position, time=4680, value=14/16, text=4680)
Event(name=Note Velocity, time=4680, value=109, text=109)
Event(name=Note On, time=4680, value=63, text=D#4)
Event(name=Note Duration, time=4680, value=0.094, text=0.094)
Event(name=Position, time=4740, value=15/16, text=4740)
Event(name=Note Velocity, time=4740, value=118, text=118)
Event(name=Note On, time=4740, value=66, text=F#4)
Event(name=Note Duration, time=4740, value=0.102, text=0.102)
Event(name=Position, time=4800, value=16/16, text=4800)
Event(name=Note Velocity, time=4800, value=112, text=112)
Event(name=Note On, time=4800, value=68, text=G#4)
Event(name=Note Duration, time=4800, value=0.125, text=0.125)
Event(name=Bar, time=4860, value=4860, text=6)
Event(name=Position, time=4860, value=1/16, text=4860)
Event(name=Chord, time=4860, value=B:maj, text=B:maj)
Event(name=Position, time=4860, value=1/16, text=4860)
Event(name=Note Velocity, time=4860, value=112, text=112)
Event(name=Note On, time=4860, value=70, text=A#4)
Event(name=Note Duration, time=4860, value=0.165, text=0.165)
Event(name=Position, time=4860, value=1/16, text=4860)
Event(name=Note Velocity, time=4860, value=90, text=90)
Event(name=Note On, time=4860, value=59, text=B3)
Event(name=Note Duration, time=4860, value=0.535, text=0.535)
Event(name=Position, time=4860, value=1/16, text=4860)
Event(name=Note Velocity, time=4860, value=92, text=92)
Event(name=Note On, time=4860, value=63, text=D#4)
Event(name=Note Duration, time=4860, value=0.656, text=0.656)
Event(name=Position, time=4860, value=1/16, text=4860)
Event(name=Note Velocity, time=4860, value=109, text=109)
Event(name=Note On, time=4860, value=47, text=B2)
Event(name=Note Duration, time=4860, value=1.146, text=1.146)
Event(name=Position, time=4920, value=2/16, text=4920)
Event(name=Note Velocity, time=4920, value=97, text=97)
Event(name=Note On, time=4920, value=78, text=F#5)
Event(name=Note Duration, time=4920, value=0.144, text=0.144)
Event(name=Position, time=4980, value=3/16, text=4980)
Event(name=Note Velocity, time=4980, value=112, text=112)
Event(name=Note On, time=4980, value=66, text=F#4)
Event(name=Note Duration, time=4980, value=0.308, text=0.308)
Event(name=Position, time=4980, value=3/16, text=4980)
Event(name=Note Velocity, time=4980, value=108, text=108)
Event(name=Note On, time=4980, value=80, text=G#5)
Event(name=Note Duration, time=4980, value=0.14, text=0.14)
Event(name=Position, time=4980, value=3/16, text=4980)
Event(name=Note Velocity, time=4980, value=76, text=76)
Event(name=Note On, time=4980, value=54, text=F#3)
Event(name=Note Duration, time=4980, value=0.698, text=0.698)
Event(name=Position, time=5040, value=4/16, text=5040)
Event(name=Note Velocity, time=5040, value=114, text=114)
Event(name=Note On, time=5040, value=82, text=A#5)
Event(name=Note Duration, time=5040, value=0.202, text=0.202)
Event(name=Position, time=5040, value=4/16, text=5040)
Event(name=Note Velocity, time=5040, value=109, text=109)
Event(name=Note On, time=5040, value=59, text=B3)
Event(name=Note Duration, time=5040, value=0.423, text=0.423)
Event(name=Position, time=5100, value=5/16, text=5100)
Event(name=Chord, time=5100, value=F#:maj, text=F#:maj)
Event(name=Position, time=5100, value=5/16, text=5100)
Event(name=Note Velocity, time=5100, value=118, text=118)
Event(name=Note On, time=5100, value=63, text=D#4)
Event(name=Note Duration, time=5100, value=0.36, text=0.36)
Event(name=Position, time=5100, value=5/16, text=5100)
Event(name=Note Velocity, time=5100, value=102, text=102)
Event(name=Note On, time=5100, value=66, text=F#4)
Event(name=Note Duration, time=5100, value=0.319, text=0.319)
Event(name=Position, time=5220, value=7/16, text=5220)
Event(name=Note Velocity, time=5220, value=115, text=115)
Event(name=Note On, time=5220, value=68, text=G#4)
Event(name=Note Duration, time=5220, value=1.481, text=1.481)
Event(name=Position, time=5220, value=7/16, text=5220)
Event(name=Note Velocity, time=5220, value=105, text=105)
Event(name=Note On, time=5220, value=65, text=F4)
Event(name=Note Duration, time=5220, value=1.075, text=1.075)
Event(name=Position, time=5220, value=7/16, text=5220)
Event(name=Note Velocity, time=5220, value=84, text=84)
Event(name=Note On, time=5220, value=61, text=C#4)
Event(name=Note Duration, time=5220, value=1.142, text=1.142)
Event(name=Position, time=5340, value=9/16, text=5340)
Event(name=Chord, time=5340, value=C#:maj, text=C#:maj)
Event(name=Position, time=5340, value=9/16, text=5340)
Event(name=Note Velocity, time=5340, value=111, text=111)
Event(name=Note On, time=5340, value=49, text=C#3)
Event(name=Note Duration, time=5340, value=1.187, text=1.187)
Event(name=Position, time=5460, value=11/16, text=5460)
Event(name=Note Velocity, time=5460, value=114, text=114)
Event(name=Note On, time=5460, value=80, text=G#5)
Event(name=Note Duration, time=5460, value=0.144, text=0.144)
Event(name=Position, time=5460, value=11/16, text=5460)
Event(name=Note Velocity, time=5460, value=97, text=97)
Event(name=Note On, time=5460, value=56, text=G#3)
Event(name=Note Duration, time=5460, value=0.602, text=0.602)
Event(name=Position, time=5520, value=12/16, text=5520)
Event(name=Note Velocity, time=5520, value=108, text=108)
Event(name=Note On, time=5520, value=82, text=A#5)
Event(name=Note Duration, time=5520, value=0.119, text=0.119)
Event(name=Position, time=5580, value=13/16, text=5580)
Event(name=Note Velocity, time=5580, value=120, text=120)
Event(name=Note On, time=5580, value=80, text=G#5)
Event(name=Note Duration, time=5580, value=0.342, text=0.342)
Event(name=Position, time=5580, value=13/16, text=5580)
Event(name=Note Velocity, time=5580, value=111, text=111)
Event(name=Note On, time=5580, value=61, text=C#4)
Event(name=Note Duration, time=5580, value=0.231, text=0.231)
Event(name=Position, time=5580, value=13/16, text=5580)
Event(name=Note Velocity, time=5580, value=111, text=111)
Event(name=Note On, time=5580, value=65, text=F4)
Event(name=Note Duration, time=5580, value=0.34, text=0.34)
Event(name=Position, time=5580, value=13/16, text=5580)
Event(name=Note Velocity, time=5580, value=111, text=111)
Event(name=Note On, time=5580, value=68, text=G#4)
Event(name=Note Duration, time=5580, value=0.565, text=0.565)
Event(name=Position, time=5700, value=15/16, text=5700)
Event(name=Note Velocity, time=5700, value=97, text=97)
Event(name=Note On, time=5700, value=61, text=C#4)
Event(name=Note Duration, time=5700, value=0.15, text=0.15)
Event(name=Bar, time=5820, value=5820, text=7)
Event(name=Position, time=5820, value=1/16, text=5820)
Event(name=Chord, time=5820, value=A#:min, text=A#:min)
Event(name=Position, time=5820, value=1/16, text=5820)
Event(name=Note Velocity, time=5820, value=112, text=112)
Event(name=Note On, time=5820, value=68, text=G#4)
Event(name=Note Duration, time=5820, value=0.342, text=0.342)
Event(name=Position, time=5820, value=1/16, text=5820)
Event(name=Note Velocity, time=5820, value=111, text=111)
Event(name=Note On, time=5820, value=58, text=A#3)
Event(name=Note Duration, time=5820, value=0.473, text=0.473)
Event(name=Position, time=5820, value=1/16, text=5820)
Event(name=Note Velocity, time=5820, value=111, text=111)
Event(name=Note On, time=5820, value=61, text=C#4)
Event(name=Note Duration, time=5820, value=0.504, text=0.504)
Event(name=Position, time=5820, value=1/16, text=5820)
Event(name=Note Velocity, time=5820, value=102, text=102)
Event(name=Note On, time=5820, value=46, text=A#2)
Event(name=Note Duration, time=5820, value=1.344, text=1.344)
Event(name=Position, time=5940, value=3/16, text=5940)
Event(name=Note Velocity, time=5940, value=115, text=115)
Event(name=Note On, time=5940, value=65, text=F4)
Event(name=Note Duration, time=5940, value=0.287, text=0.287)
Event(name=Position, time=5940, value=3/16, text=5940)
Event(name=Note Velocity, time=5940, value=80, text=80)
Event(name=Note On, time=5940, value=53, text=F3)
Event(name=Note Duration, time=5940, value=0.748, text=0.748)
Event(name=Position, time=6000, value=4/16, text=6000)
Event(name=Note Velocity, time=6000, value=102, text=102)
Event(name=Note On, time=6000, value=58, text=A#3)
Event(name=Note Duration, time=6000, value=0.171, text=0.171)
Event(name=Position, time=6060, value=5/16, text=6060)
Event(name=Chord, time=6060, value=A#:maj, text=A#:maj)
Event(name=Position, time=6060, value=5/16, text=6060)
Event(name=Note Velocity, time=6060, value=115, text=115)
Event(name=Note On, time=6060, value=61, text=C#4)
Event(name=Note Duration, time=6060, value=0.279, text=0.279)
Event(name=Position, time=6060, value=5/16, text=6060)
Event(name=Note Velocity, time=6060, value=105, text=105)
Event(name=Note On, time=6060, value=61, text=C#4)
Event(name=Note Duration, time=6060, value=0.15, text=0.15)
Event(name=Position, time=6060, value=5/16, text=6060)
Event(name=Note Velocity, time=6060, value=111, text=111)
Event(name=Note On, time=6060, value=58, text=A#3)
Event(name=Note Duration, time=6060, value=0.217, text=0.217)
Event(name=Position, time=6060, value=5/16, text=6060)
Event(name=Note Velocity, time=6060, value=111, text=111)
Event(name=Note On, time=6060, value=65, text=F4)
Event(name=Note Duration, time=6060, value=0.24, text=0.24)
Event(name=Position, time=6180, value=7/16, text=6180)
Event(name=Note Velocity, time=6180, value=118, text=118)
Event(name=Note On, time=6180, value=66, text=F#4)
Event(name=Note Duration, time=6180, value=1.154, text=1.154)
Event(name=Position, time=6180, value=7/16, text=6180)
Event(name=Note Velocity, time=6180, value=111, text=111)
Event(name=Note On, time=6180, value=58, text=A#3)
Event(name=Note Duration, time=6180, value=1.033, text=1.033)
Event(name=Position, time=6180, value=7/16, text=6180)
Event(name=Note Velocity, time=6180, value=108, text=108)
Event(name=Note On, time=6180, value=63, text=D#4)
Event(name=Note Duration, time=6180, value=1.048, text=1.048)
Event(name=Position, time=6300, value=9/16, text=6300)
Event(name=Chord, time=6300, value=D#:min, text=D#:min)
Event(name=Position, time=6300, value=9/16, text=6300)
Event(name=Note Velocity, time=6300, value=114, text=114)
Event(name=Note On, time=6300, value=78, text=F#5)
Event(name=Note Duration, time=6300, value=0.106, text=0.106)
Event(name=Position, time=6300, value=9/16, text=6300)
Event(name=Note Velocity, time=6300, value=100, text=100)
Event(name=Note On, time=6300, value=51, text=D#3)
Event(name=Note Duration, time=6300, value=1.537, text=1.537)
Event(name=Position, time=6360, value=10/16, text=6360)
Event(name=Note Velocity, time=6360, value=108, text=108)
Event(name=Note On, time=6360, value=80, text=G#5)
Event(name=Note Duration, time=6360, value=0.144, text=0.144)
Event(name=Position, time=6360, value=10/16, text=6360)
Event(name=Note Velocity, time=6360, value=111, text=111)
Event(name=Note On, time=6360, value=82, text=A#5)
Event(name=Note Duration, time=6360, value=0.369, text=0.369)
Event(name=Position, time=6360, value=10/16, text=6360)
Event(name=Note Velocity, time=6360, value=94, text=94)
Event(name=Note On, time=6360, value=54, text=F#3)
Event(name=Note Duration, time=6360, value=0.998, text=0.998)
Event(name=Position, time=6540, value=13/16, text=6540)
Event(name=Note Velocity, time=6540, value=112, text=112)
Event(name=Note On, time=6540, value=61, text=C#4)
Event(name=Note Duration, time=6540, value=0.148, text=0.148)
Event(name=Position, time=6540, value=13/16, text=6540)
Event(name=Note Velocity, time=6540, value=117, text=117)
Event(name=Note On, time=6540, value=58, text=A#3)
Event(name=Note Duration, time=6540, value=0.256, text=0.256)
Event(name=Position, time=6540, value=13/16, text=6540)
Event(name=Note Velocity, time=6540, value=114, text=114)
Event(name=Note On, time=6540, value=63, text=D#4)
Event(name=Note Duration, time=6540, value=0.544, text=0.544)
Event(name=Position, time=6540, value=13/16, text=6540)
Event(name=Note Velocity, time=6540, value=108, text=108)
Event(name=Note On, time=6540, value=66, text=F#4)
Event(name=Note Duration, time=6540, value=0.602, text=0.602)
Event(name=Position, time=6600, value=14/16, text=6600)
Event(name=Note Velocity, time=6600, value=112, text=112)
Event(name=Note On, time=6600, value=63, text=D#4)
Event(name=Note Duration, time=6600, value=0.106, text=0.106)
Event(name=Position, time=6660, value=15/16, text=6660)
Event(name=Note Velocity, time=6660, value=115, text=115)
Event(name=Note On, time=6660, value=66, text=F#4)
Event(name=Note Duration, time=6660, value=0.11, text=0.11)
Event(name=Position, time=6660, value=15/16, text=6660)
Event(name=Note Velocity, time=6660, value=102, text=102)
Event(name=Note On, time=6660, value=58, text=A#3)
Event(name=Note Duration, time=6660, value=0.154, text=0.154)
Event(name=Position, time=6660, value=15/16, text=6660)
Event(name=Note Velocity, time=6660, value=112, text=112)
Event(name=Note On, time=6660, value=68, text=G#4)
Event(name=Note Duration, time=6660, value=0.135, text=0.135)
Event(name=Bar, time=6780, value=6780, text=8)
Event(name=Position, time=6780, value=1/16, text=6780)
Event(name=Chord, time=6780, value=B:maj, text=B:maj)
Event(name=Position, time=6780, value=1/16, text=6780)
Event(name=Note Velocity, time=6780, value=109, text=109)
Event(name=Note On, time=6780, value=70, text=A#4)
Event(name=Note Duration, time=6780, value=0.154, text=0.154)
Event(name=Position, time=6780, value=1/16, text=6780)
Event(name=Note Velocity, time=6780, value=96, text=96)
Event(name=Note On, time=6780, value=59, text=B3)
Event(name=Note Duration, time=6780, value=0.54, text=0.54)
Event(name=Position, time=6780, value=1/16, text=6780)
Event(name=Note Velocity, time=6780, value=102, text=102)
Event(name=Note On, time=6780, value=63, text=D#4)
Event(name=Note Duration, time=6780, value=0.558, text=0.558)
Event(name=Position, time=6780, value=1/16, text=6780)
Event(name=Note Velocity, time=6780, value=109, text=109)
Event(name=Note On, time=6780, value=47, text=B2)
Event(name=Note Duration, time=6780, value=1.123, text=1.123)
Event(name=Position, time=6900, value=3/16, text=6900)
Event(name=Note Velocity, time=6900, value=112, text=112)
Event(name=Note On, time=6900, value=66, text=F#4)
Event(name=Note Duration, time=6900, value=0.315, text=0.315)
Event(name=Position, time=6900, value=3/16, text=6900)
Event(name=Note Velocity, time=6900, value=76, text=76)
Event(name=Note On, time=6900, value=54, text=F#3)
Event(name=Note Duration, time=6900, value=0.64, text=0.64)
Event(name=Position, time=6960, value=4/16, text=6960)
Event(name=Note Velocity, time=6960, value=99, text=99)
Event(name=Note On, time=6960, value=59, text=B3)
Event(name=Note Duration, time=6960, value=0.19, text=0.19)
